Opera;Anno;Genere/Materiale; Estimate p (min) ; Estimate p (Max) ; Hammer p (Hp) ;;;
Woman with Bow;;1; 30.000 ; 40.000 ; 32.000 ;;;
Landscape;;0; 25.000 ; 30.000 ; 32.000 ;;;
I Pesci;;0; 25.000 ; 35.000 ; 31.040 ;;;
Mele o Natura Morta con Nudo;1944;0; 30.000 ; 50.000 ; 31.000 ;;;
Passeggiata a Villa Caracciolo;1908;0; 15.000 ; 20.000 ; 30.750 ;;;
Due Nudi;1947;0; 30.000 ; 50.000 ; 30.000 ;;;
Nudo Dormiente;1954;0; 54.000 ; 60.000 ; 30.000 ;;;
Vendemmiatrici;1951;0; 16.000 ; 20.000 ; 30.000 ;;;
Natura Morta con Due Uccellini;1956;0; 30.000 ; 40.000 ; 30.000 ;;;
L'Incontro con la Musica*;1923;1; 35.000 ; 50.000 ; 30.000 ;;;
Two Sisters;;0; 30.000 ; 35.000 ; 30.000 ;;;
Nudo di Schiena  ;;0; 25.000 ; 35.000 ; 29.550 ;;;
Nude  ;1962;0; 30.000 ; 40.000 ; 29.000 ;;;
La Zingara*;1908;0; 30.000 ; 45.000 ; 28.000 ;;;
Bozzetto di Costumi per la Vestale;1933;0; 28.000 ; 35.000 ; 28.000 ;;;
Maternity, Three Women;;0; 25.000 ; 25.000 ; 28.000 ;;;
Fenètre;;0; 25.000 ; 35.000 ; 27.500 ;;;
;;0; 30.000 ; 40.000 ; 27.500 ;;;
Ragazza Seduta;1938;0; 9.000 ; 12.000 ; 26.250 ;;;
Ragazza col Vestito a Righe;1945;0; 85.000 ; 140.000 ; 26.000 ;;;
Concerto;;0; 20.000 ; 30.000 ; 26.000 ;;;
Conversazione;;0; 20.000 ; 30.000 ; 25.400 ;;;
Mele Cotogne;1940;0; 20.000 ; 30.000 ; 25.000 ;;;
Cucitrice nella Soffitta;1931;0; 30.000 ; 40.000 ; 25.000 ;;;
Pavarolo*;1935;0; 45.000 ; 50.000 ; 25.000 ;;;
Addormentata tra i Campi;1957;0; 18.000 ; 20.000 ; 24.800 ;;;
Veduta della Gallinara*;1930;0; 25.000 ; 35.000 ; 24.750 ;;;
Veduta della Gallinara;1930;0; 25.000 ; 35.000 ; 24.750 ;;;
Piatto e Flauti;1959;0; 20.000 ; 30.000 ; 24.700 ;;;
Ritratto di Francesco Apollonio;1913;0; 30.000 ; 40.000 ; 24.000 ;;;
Eggs and Flowers;;0; 25.000 ; 28.000 ; 24.000 ;;;
Ragazza Seduta (Con l'Abito Chiaro);1942;0; 14.000 ; 20.000 ; 23.000 ;;;
Nudo in Poltrona;1961;0; 25.000 ; 30.000 ; 23.000 ;;;
Sleeping;;1; 20.000 ; 20.000 ; 23.000 ;;;
Paesaggi Case o Casolari;1920;0; 12.000 ; 16.000 ; 21.450 ;;;
Natura Morta;1963;0; 20.000 ; 30.000 ; 21.000 ;;;
Uova e Limoni;1962;0; 15.000 ; 20.000 ; 20.000 ;;;
Fanciulla Seduta;1933;0; 20.000 ; 30.000 ; 20.000 ;;;
Figura Sdraiata o La Dormiente;;1; 22.000 ; 28.000 ; 20.000 ;;;
Uova e Limoni*;1962;0; 45.000 ; 50.000 ; 20.000 ;;;
Nudi (Fra i Campi)*;1956;0; 20.000 ; 25.000 ; 19.000 ;;;
Limoni sull'Alzata;1962;0; 15.000 ; 18.000 ; 18.600 ;;;
